,sentiment,party,weighted_mean,result
Bennet,0.20908051282051282,d,49.626086956521746,55.9
Kelly,0.11203668341708543,d,47.54707379134861,51.4
Barnes,0.04340000000000001,d,47.17380952380953,49.5
Hassan,0.20759193548387095,d,46.604580152671744,53.6
Whaley,0.1872520325203252,d,34.78781954887218,37.2
Schumer,0.004388000000000007,d,54.462222222222216,56.4
Shapiro,0.0008783919597990014,d,51.91960784313726,56.5
Polis,0.1119725,d,52.720909090909096,58.5
Hochul,-0.014132663316582913,d,51.09817184643509,52.9
Hobbs,0.0378785,d,44.56729508196722,50.3
Abrams,0.022238414634146338,d,44.007692307692274,45.9
Sisolak,0.22594117647058823,d,43.664351851851826,47.4
Evers,0.05673969849246231,d,46.43723404255319,51.2
Demings,0.22215384615384617,d,39.76455696202533,41.3
Ryan,0.15001,d,40.95098901098901,46.7
Sherman,0.5143734848484849,d,35.425862068965515,41.6
Cortez Masto,-0.007614499999999993,d,44.486046511627904,48.9
Crist,0.12189439252336448,d,41.943750000000016,40.0
Warnock,0.29100950000000003,d,46.90480349344978,51.4
Fetterman,0.049241,d,47.662352941176465,51.2
Johnson,0.04334646464646464,r,46.890243902439025,50.5
Sununu,0.2315945945945946,r,51.731034482758616,57.1
Rubio,-0.12540251256281407,r,47.56594594594595,57.7
Vance,0.0709215,r,42.29463768115943,53.3
Pinion,0.1455995,r,36.660000000000004,43.2
Lombardo,0.12414310344827585,r,44.0755905511811,48.8
Michels,0.10685223880597014,r,45.47542372881356,47.8
Mastriano,0.07856341463414634,r,39.53790849673202,41.7
Laxalt,-0.06642649999999999,r,44.136134453781516,48.0
Kemp,0.3355035,r,49.767757009345786,53.4
Lake,0.006442000000000004,r,44.03461538461539,49.7
Walker,-0.076626,r,45.38506787330318,48.6
Ganahl,-0.04497999999999999,r,37.30444444444444,39.2
Oz,0.07618241206030152,r,42.20194805194806,46.3
DeWine,0.17411100000000002,r,52.03910828025478,62.8
DeSantis,0.079149,r,49.56676470588236,59.4
Bolduc,0.04999739130434783,r,42.4008547008547,44.4
Masters,0.04917588235294117,r,41.791578947368414,46.5
O'Dea,0.2089305,r,39.888000000000005,41.3
Zeldin,0.026774500000000003,r,35.45785536159603,47.1
